voter,rank,title,author
Ella Creamer,51,My Brilliant Friend,Elena Ferrante
Ian Patterson,52,The Golden Bowl,Henry James
Michael Chabon,52,The Golden Bowl,Henry James
Jacqueline Rose,52,The Golden Bowl,Henry James
Colm Tóibín,52,The Golden Bowl,Henry James
Catherine Taylor,52,The Golden Bowl,Henry James
Esi Edugyan,53,The Transit of Venus,Shirley Hazzard
Charlotte Mendelson,53,The Transit of Venus,Shirley Hazzard
Geoff Dyer,53,The Transit of Venus,Shirley Hazzard
Yiyun Li,53,The Transit of Venus,Shirley Hazzard
David Nicholls,53,The Transit of Venus,Shirley Hazzard
Lily King,53,The Transit of Venus,Shirley Hazzard
Katharine Viner,54,Orlando,Virginia Woolf
Michael Chabon,54,Orlando,Virginia Woolf
Kathryn Hughes,54,Orlando,Virginia Woolf
Adam Thirlwell,54,Orlando,Virginia Woolf
Elif Shafak,54,Orlando,Virginia Woolf
Jude Cook,55,The Waves,Virginia Woolf
Jacqueline Rose,55,The Waves,Virginia Woolf
Guy Gunaratne,55,The Waves,Virginia Woolf
Chigozie Obioma,55,The Waves,Virginia Woolf
Alexandra Harris,55,The Waves,Virginia Woolf
Jude Cook,56,Mansfield Park,Jane Austen
Ben Markovits,56,Mansfield Park,Jane Austen
Alex Needham,56,Mansfield Park,Jane Austen
James Meek,56,Mansfield Park,Jane Austen
Tom Crewe,56,Mansfield Park,Jane Austen
Merve Emre,57,The Sound and the Fury,William Faulkner
Melissa Harrison,57,The Sound and the Fury,William Faulkner
Kevin Power,57,The Sound and the Fury,William Faulkner
Michael Donkor,57,The Sound and the Fury,William Faulkner
Lily King,57,The Sound and the Fury,William Faulkner
Douglas Stuart,58,Disgrace,JM Coetzee
Valeria Luiselli,58,Disgrace,JM Coetzee
Samantha Harvey,58,Disgrace,JM Coetzee
Kieran Goddard,58,Disgrace,JM Coetzee
James Meek,58,Disgrace,JM Coetzee
Lucy Knight,59,Never Let Me Go,Kazuo Ishiguro
Beejay Silcox,59,Never Let Me Go,Kazuo Ishiguro
M. John Harrison,59,Never Let Me Go,Kazuo Ishiguro
Sayaka Murata,59,Never Let Me Go,Kazuo Ishiguro
Charlotte Northedge,59,Never Let Me Go,Kazuo Ishiguro
John Boyne,60,Howards End,EM Forster
Andrew Solomon,60,Howards End,EM Forster
Sarah Bakewell,60,Howards End,EM Forster
David Nicholls,60,Howards End,EM Forster
Elizabeth Day,60,Howards End,EM Forster
Olivia Laing,61,The Rings of Saturn,WG Sebald
Joe Dunthorne,61,The Rings of Saturn,WG Sebald
Guy Gunaratne,61,The Rings of Saturn,WG Sebald
Claire Messud,61,The Rings of Saturn,WG Sebald
Doireann Ní Ghríofa,61,The Rings of Saturn,WG Sebald
Katharine Viner,62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Yagnishsing Dawoor,62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Diana Evans,62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Charlotte Northedge,62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Emma Loffhagen,62,Half of a Yellow Sun,Chimamanda Ngozi Adichie
Yagnishsing Dawoor,63,White Teeth,Zadie Smith
Yiyun Li,63,White Teeth,Zadie Smith
Jeet Thayil,63,White Teeth,Zadie Smith
Derek Owusu,63,White Teeth,Zadie Smith
Emma Loffhagen,63,White Teeth,Zadie Smith
Anne Enright,64,The Good Soldier,Ford Madox Ford
Steven Poole,64,The Good Soldier,Ford Madox Ford
Lucy Knight,64,The Good Soldier,Ford Madox Ford
Jack Edwards,64,The Good Soldier,Ford Madox Ford
Alexandra Harris,64,The Good Soldier,Ford Madox Ford
Maggie O’Farrell,65,The Color Purple,Alice Walker
Claire Armitstead,65,The Color Purple,Alice Walker
Emma Loffhagen,65,The Color Purple,Alice Walker
Damian Barr,65,The Color Purple,Alice Walker
Salman Rushdie,66,The Master and Margarita,Mikhail Bulgakov
Philippe Sands,66,The Master and Margarita,Mikhail Bulgakov
Elif Shafak,66,The Master and Margarita,Mikhail Bulgakov
Parinoush Saniee,66,The Master and Margarita,Mikhail Bulgakov
Marcel Theroux,66,The Master and Margarita,Mikhail Bulgakov
Ian Patterson,67,The Man Without Qualities,Robert Musil
PD Smith,67,The Man Without Qualities,Robert Musil
Sukhdev Sandhu,67,The Man Without Qualities,Robert Musil
Adam Thirlwell,67,The Man Without Qualities,Robert Musil
Esi Edugyan,68,Blood Meridian,Cormac McCarthy
Joe Dunthorne,68,Blood Meridian,Cormac McCarthy
Chigozie Obioma,68,Blood Meridian,Cormac McCarthy
Xan Brooks,68,Blood Meridian,Cormac McCarthy
Eimear McBride,69,Crime and Punishment,Fyodor Dostoevsky
Juan Gabriel Vasquez,69,Crime and Punishment,Fyodor Dostoevsky
Liese Spencer,69,Crime and Punishment,Fyodor Dostoevsky
Ian Rankin,69,Crime and Punishment,Fyodor Dostoevsky
Chris Power,70,Jude the Obscure,Thomas Hardy
Douglas Stuart,70,Jude the Obscure,Thomas Hardy
Sukhdev Sandhu,70,Jude the Obscure,Thomas Hardy
Kieran Goddard,70,Jude the Obscure,Thomas Hardy
Imogen Russell Williams,71,Kindred,Octavia E Butler
Yael van der Wouden,71,Kindred,Octavia E Butler
Bernardine Evaristo,71,Kindred,Octavia E Butler
Lisa Tuttle,71,Kindred,Octavia E Butler
Shahidha Bari,72,Our Mutual Friend,Charles Dickens
William Boyd,72,Our Mutual Friend,Charles Dickens
Justine Jordan,72,Our Mutual Friend,Charles Dickens
Ian McEwan,72,Our Mutual Friend,Charles Dickens
Nina Allan,73,Austerlitz,WG Sebald
Sarah Waters,73,Austerlitz,WG Sebald
Alex Needham,73,Austerlitz,WG Sebald
Kieran Goddard,73,Austerlitz,WG Sebald
Jon Day,74,Nervous Conditions,Tsitsi Dangarembga
Natasha Walter,74,Nervous Conditions,Tsitsi Dangarembga
Catherine Taylor,74,Nervous Conditions,Tsitsi Dangarembga
Maaza Mengiste,74,Nervous Conditions,Tsitsi Dangarembga
Kate Mosse,75,The Bluest Eye,Toni Morrison
Maya Jaggi,75,The Bluest Eye,Toni Morrison
Jennifer Egan,75,The Bluest Eye,Toni Morrison
Michael Donkor,75,The Bluest Eye,Toni Morrison
Jan Carson,76,Dracula,Bram Stoker
Joshua Cohen,76,Dracula,Bram Stoker
Damian Barr,76,Dracula,Bram Stoker
Doireann Ní Ghríofa,76,Dracula,Bram Stoker
Lara Feigel,77,The Rainbow,DH Lawrence
Catherine Taylor,77,The Rainbow,DH Lawrence
Tessa Hadley,77,The Rainbow,DH Lawrence
Ella Creamer,77,The Rainbow,DH Lawrence
Amit Chaudhuri,78,A House for Mr Biswas,VS Naipaul
Maya Jasanoff,78,A House for Mr Biswas,VS Naipaul
Sukhdev Sandhu,78,A House for Mr Biswas,VS Naipaul
Aida Edemariam,78,A House for Mr Biswas,VS Naipaul
Shahidha Bari,79,Go Tell It on the Mountain,James Baldwin
Derek Owusu,79,Go Tell It on the Mountain,James Baldwin
Nina Stibbe,79,Go Tell It on the Mountain,James Baldwin
Maaza Mengiste,79,Go Tell It on the Mountain,James Baldwin
Jan Carson,80,Rebecca,Daphne du Maurier
Elif Shafak,80,Rebecca,Daphne du Maurier
Lisa Allardice,80,Rebecca,Daphne du Maurier
Doireann Ní Ghríofa,80,Rebecca,Daphne du Maurier
Maya Jasanoff,81,Buddenbrooks,Thomas Mann
Colm Tóibín,81,Buddenbrooks,Thomas Mann
RF Kuang,81,Buddenbrooks,Thomas Mann
Naoise Dolan,81,Buddenbrooks,Thomas Mann
Kit de Waal,82,The End of the Affair,Graham Greene
Sam Leith,82,The End of the Affair,Graham Greene
Jan Carson,82,The End of the Affair,Graham Greene
Sophie Mackintosh,82,The End of the Affair,Graham Greene
Steven Poole,83,A Farewell to Arms,Ernest Hemingway
Christobel Kent,83,A Farewell to Arms,Ernest Hemingway
Yiyun Li,83,A Farewell to Arms,Ernest Hemingway
Ahdaf Soueif,83,A Farewell to Arms,Ernest Hemingway
Nina Allan,84,The Talented Mr Ripley,Patricia Highsmith
Olivia Laing,84,The Talented Mr Ripley,Patricia Highsmith
Joe Dunthorne,84,The Talented Mr Ripley,Patricia Highsmith
Richard Osman,84,The Talented Mr Ripley,Patricia Highsmith
Sayaka Murata,85,The Vegetarian,Han Kang
Sophie Mackintosh,85,The Vegetarian,Han Kang
Tahmima Anam,85,The Vegetarian,Han Kang
Emma Loffhagen,85,The Vegetarian,Han Kang
Julie Myerson,86,The Turn of the Screw,Henry James
Kate Mosse,86,The Turn of the Screw,Henry James
Kathryn Hughes,86,The Turn of the Screw,Henry James
Lisa Tuttle,86,The Turn of the Screw,Henry James
Douglas Stuart,87,The Line of Beauty,Alan Hollinghurst
Philippe Sands,87,The Line of Beauty,Alan Hollinghurst
Alex Needham,87,The Line of Beauty,Alan Hollinghurst
Dorian Lynskey,87,The Line of Beauty,Alan Hollinghurst
Daniel Kehlmann,88,Ragtime,EL Doctorow
Colum McCann,88,Ragtime,EL Doctorow
Joe Dunthorne,88,Ragtime,EL Doctorow
Dorian Lynskey,88,Ragtime,EL Doctorow
Amanda Craig,89,The Left Hand of Darkness,Ursula K Le Guin
Beejay Silcox,89,The Left Hand of Darkness,Ursula K Le Guin
Michael Chabon,89,The Left Hand of Darkness,Ursula K Le Guin
John Lanchester,89,The Left Hand of Darkness,Ursula K Le Guin
M. John Harrison,90,Jacob's Room,Virginia Woolf
Mark Haddon,90,Jacob's Room,Virginia Woolf
Alexandra Harris,90,Jacob's Room,Virginia Woolf
Sarah Bakewell,91,Life and Fate,Vasily Grossman
Philippe Sands,91,Life and Fate,Vasily Grossman
Alex Needham,91,Life and Fate,Vasily Grossman
Christobel Kent,92,Sentimental Education,Gustave Flaubert
Maya Jasanoff,92,Sentimental Education,Gustave Flaubert
Lisa Tuttle,92,Sentimental Education,Gustave Flaubert
John Self,93,Invisible Cities,Italo Calvino
Matt Haig,93,Invisible Cities,Italo Calvino
James Meek,93,Invisible Cities,Italo Calvino
Roxane Gay,94,The Known World,Edward P Jones
Uzma Aslam Khan,94,The Known World,Edward P Jones
Maaza Mengiste,94,The Known World,Edward P Jones
Jude Cook,95,The Return of the Native,Thomas Hardy
Alexandra Harris,95,The Return of the Native,Thomas Hardy
David Shariatmadari,95,The Return of the Native,Thomas Hardy
Yan Lianke,96,Pedro Páramo,Juan Rulfo
Valeria Luiselli,96,Pedro Páramo,Juan Rulfo
Alain Mabanckou,96,Pedro Páramo,Juan Rulfo
Meg Rosoff,97,Catch-22,Joseph Heller
Sian Cain,97,Catch-22,Joseph Heller
Justine Jordan,97,Catch-22,Joseph Heller
Kit de Waal,98,The Road,Cormac McCarthy
Sarah Waters,98,The Road,Cormac McCarthy
Valeria Luiselli,98,The Road,Cormac McCarthy
Clare Clark,99,The Go-Between,LP Hartley
Aida Edemariam,99,The Go-Between,LP Hartley
David Shariatmadari,99,The Go-Between,LP Hartley
Hermione Lee,100,My Ántonia,Willa Cather
Xan Brooks,100,My Ántonia,Willa Cather
Tahmima Anam,100,My Ántonia,Willa Cather
Alexandra Harris,100,My Ántonia,Willa Cather
