voter,rank,title,author
Charlotte Higgins,3,Ulysses,James Joyce
Justine Jordan,3,Ulysses,James Joyce
Kieran Goddard,3,Ulysses,James Joyce
Alex Clark,3,Ulysses,James Joyce
Houman Barekat,3,Ulysses,James Joyce
Stephen King,3,Ulysses,James Joyce
Ian McEwan,3,Ulysses,James Joyce
Stuart Kelly,3,Ulysses,James Joyce
Alexandra Harris,3,Ulysses,James Joyce
Ben Okri,3,Ulysses,James Joyce
James Meek,3,Ulysses,James Joyce
John Lanchester,3,Ulysses,James Joyce
Merve Emre,4,To the Lighthouse,Virginia Woolf
Hermione Lee,4,To the Lighthouse,Virginia Woolf
Jon Day,4,To the Lighthouse,Virginia Woolf
Eimear McBride,4,To the Lighthouse,Virginia Woolf
Chris Power,4,To the Lighthouse,Virginia Woolf
Shahidha Bari,4,To the Lighthouse,Virginia Woolf
Juan Gabriel Vasquez,4,To the Lighthouse,Virginia Woolf
Fiona Sampson,4,To the Lighthouse,Virginia Woolf
Andrew Solomon,4,To the Lighthouse,Virginia Woolf
Julie Myerson,4,To the Lighthouse,Virginia Woolf
Lara Feigel,4,To the Lighthouse,Virginia Woolf
Siri Hustvedt,4,To the Lighthouse,Virginia Woolf
Yiyun Li,4,To the Lighthouse,Virginia Woolf
Natasha Walter,4,To the Lighthouse,Virginia Woolf
Jack Edwards,4,To the Lighthouse,Virginia Woolf
Sinéad Gleeson,4,To the Lighthouse,Virginia Woolf
Colm Tóibín,4,To the Lighthouse,Virginia Woolf
Catherine Taylor,4,To the Lighthouse,Virginia Woolf
Ben Markovits,4,To the Lighthouse,Virginia Woolf
Jennifer Egan,4,To the Lighthouse,Virginia Woolf
Kieran Goddard,4,To the Lighthouse,Virginia Woolf
Alex Clark,4,To the Lighthouse,Virginia Woolf
David Nicholls,4,To the Lighthouse,Virginia Woolf
Alexandra Harris,4,To the Lighthouse,Virginia Woolf
Lisa Allardice,4,To the Lighthouse,Virginia Woolf
Jo Hamya,4,To the Lighthouse,Virginia Woolf
Charlotte Northedge,4,To the Lighthouse,Virginia Woolf
Ella Creamer,4,To the Lighthouse,Virginia Woolf
Lily King,4,To the Lighthouse,Virginia Woolf
Saba Sams,4,To the Lighthouse,Virginia Woolf
Doireann Ní Ghríofa,4,To the Lighthouse,Virginia Woolf
Eimear McBride,5,In Search of Lost Time,Marcel Proust
Salman Rushdie,5,In Search of Lost Time,Marcel Proust
Chris Power,5,In Search of Lost Time,Marcel Proust
Juan Gabriel Vasquez,5,In Search of Lost Time,Marcel Proust
Pratinav Anil,5,In Search of Lost Time,Marcel Proust
Yan Lianke,5,In Search of Lost Time,Marcel Proust
Chloe Aridjis,5,In Search of Lost Time,Marcel Proust
Anne Enright,5,In Search of Lost Time,Marcel Proust
Fiona Sampson,5,In Search of Lost Time,Marcel Proust
Steven Poole,5,In Search of Lost Time,Marcel Proust
Elif Batuman,5,In Search of Lost Time,Marcel Proust
Andrew Solomon,5,In Search of Lost Time,Marcel Proust
John Mullan,5,In Search of Lost Time,Marcel Proust
Ian Patterson,5,In Search of Lost Time,Marcel Proust
Olivia Laing,5,In Search of Lost Time,Marcel Proust
Daniel Kehlmann,5,In Search of Lost Time,Marcel Proust
William Boyd,5,In Search of Lost Time,Marcel Proust
Jacqueline Rose,5,In Search of Lost Time,Marcel Proust
Sarah Bakewell,5,In Search of Lost Time,Marcel Proust
Adam Thirlwell,5,In Search of Lost Time,Marcel Proust
Claire Messud,5,In Search of Lost Time,Marcel Proust
Colm Tóibín,5,In Search of Lost Time,Marcel Proust
Charlotte Higgins,5,In Search of Lost Time,Marcel Proust
Alex Clark,5,In Search of Lost Time,Marcel Proust
Ben Okri,5,In Search of Lost Time,Marcel Proust
John Lanchester,5,In Search of Lost Time,Marcel Proust
Lily King,5,In Search of Lost Time,Marcel Proust
Freya Johnston,6,Anna Karenina,Leo Tolstoy
Amanda Craig,6,Anna Karenina,Leo Tolstoy
Eimear McBride,6,Anna Karenina,Leo Tolstoy
Juan Gabriel Vasquez,6,Anna Karenina,Leo Tolstoy
Rishi Dastidar,6,Anna Karenina,Leo Tolstoy
Melissa Harrison,6,Anna Karenina,Leo Tolstoy
Elif Batuman,6,Anna Karenina,Leo Tolstoy
John Mullan,6,Anna Karenina,Leo Tolstoy
Katharine Viner,6,Anna Karenina,Leo Tolstoy
Sarah Waters,6,Anna Karenina,Leo Tolstoy
Lara Feigel,6,Anna Karenina,Leo Tolstoy
Daniel Kehlmann,6,Anna Karenina,Leo Tolstoy
Maya Jasanoff,6,Anna Karenina,Leo Tolstoy
Maya Jaggi,6,Anna Karenina,Leo Tolstoy
Rebecca Liu,6,Anna Karenina,Leo Tolstoy
Ahdaf Soueif,6,Anna Karenina,Leo Tolstoy
Claire Messud,6,Anna Karenina,Leo Tolstoy
Sara Collins,6,Anna Karenina,Leo Tolstoy
Ian McEwan,6,Anna Karenina,Leo Tolstoy
Dinah Birch,6,Anna Karenina,Leo Tolstoy
Tahmima Anam,6,Anna Karenina,Leo Tolstoy
Diana Evans,6,Anna Karenina,Leo Tolstoy
Clare Clark,6,Anna Karenina,Leo Tolstoy
Arifa Akbar,6,Anna Karenina,Leo Tolstoy
Jo Hamya,6,Anna Karenina,Leo Tolstoy
Tom Crewe,6,Anna Karenina,Leo Tolstoy
Chris Power,7,War and Peace,Leo Tolstoy
Yan Lianke,7,War and Peace,Leo Tolstoy
Andrew Solomon,7,War and Peace,Leo Tolstoy
Christobel Kent,7,War and Peace,Leo Tolstoy
Charlotte Mendelson,7,War and Peace,Leo Tolstoy
Lara Feigel,7,War and Peace,Leo Tolstoy
Daniel Kehlmann,7,War and Peace,Leo Tolstoy
Geoff Dyer,7,War and Peace,Leo Tolstoy
Claire Armitstead,7,War and Peace,Leo Tolstoy
Yiyun Li,7,War and Peace,Leo Tolstoy
Sarah Bakewell,7,War and Peace,Leo Tolstoy
Natasha Walter,7,War and Peace,Leo Tolstoy
Adam Thirlwell,7,War and Peace,Leo Tolstoy
Chigozie Obioma,7,War and Peace,Leo Tolstoy
Tessa Hadley,7,War and Peace,Leo Tolstoy
Marcel Theroux,7,War and Peace,Leo Tolstoy
Maaza Mengiste,7,War and Peace,Leo Tolstoy
Ben Okri,7,War and Peace,Leo Tolstoy
John Lanchester,7,War and Peace,Leo Tolstoy
Jem Calder,7,War and Peace,Leo Tolstoy
Maggie O’Farrell,8,Jane Eyre,Charlotte Brontë
Kit de Waal,8,Jane Eyre,Charlotte Brontë
Sarah Moss,8,Jane Eyre,Charlotte Brontë
Imogen Russell Williams,8,Jane Eyre,Charlotte Brontë
Fiona Sturges,8,Jane Eyre,Charlotte Brontë
Sarah Churchwell,8,Jane Eyre,Charlotte Brontë
Blake Morrison,8,Jane Eyre,Charlotte Brontë
Rachel Kushner,8,Jane Eyre,Charlotte Brontë
Elif Batuman,8,Jane Eyre,Charlotte Brontë
Katharine Viner,8,Jane Eyre,Charlotte Brontë
Lara Feigel,8,Jane Eyre,Charlotte Brontë
Claire Armitstead,8,Jane Eyre,Charlotte Brontë
Kathryn Hughes,8,Jane Eyre,Charlotte Brontë
Lisa Tuttle,8,Jane Eyre,Charlotte Brontë
Matt Haig,8,Jane Eyre,Charlotte Brontë
Sophie Mackintosh,8,Jane Eyre,Charlotte Brontë
Tessa Hadley,8,Jane Eyre,Charlotte Brontë
Susanna Rustin,8,Jane Eyre,Charlotte Brontë
Dinah Birch,8,Jane Eyre,Charlotte Brontë
Tahmima Anam,8,Jane Eyre,Charlotte Brontë
Doireann Ní Ghríofa,8,Jane Eyre,Charlotte Brontë
Meg Rosoff,9,Pride and Prejudice,Jane Austen
Yael van der Wouden,9,Pride and Prejudice,Jane Austen
Esi Edugyan,9,Pride and Prejudice,Jane Austen
Yan Lianke,9,Pride and Prejudice,Jane Austen
Sarah Churchwell,9,Pride and Prejudice,Jane Austen
Steven Poole,9,Pride and Prejudice,Jane Austen
Lucy Knight,9,Pride and Prejudice,Jane Austen
John Mullan,9,Pride and Prejudice,Jane Austen
Siri Hustvedt,9,Pride and Prejudice,Jane Austen
Michael Chabon,9,Pride and Prejudice,Jane Austen
Kathryn Hughes,9,Pride and Prejudice,Jane Austen
Ahdaf Soueif,9,Pride and Prejudice,Jane Austen
Parinoush Saniee,9,Pride and Prejudice,Jane Austen
Jennifer Egan,9,Pride and Prejudice,Jane Austen
Sara Collins,9,Pride and Prejudice,Jane Austen
Ian McEwan,9,Pride and Prejudice,Jane Austen
Marcel Theroux,9,Pride and Prejudice,Jane Austen
Ben Okri,9,Pride and Prejudice,Jane Austen
Elizabeth Day,9,Pride and Prejudice,Jane Austen
Lily King,9,Pride and Prejudice,Jane Austen
Freya Johnston,10,Madame Bovary,Gustave Flaubert
Kit de Waal,10,Madame Bovary,Gustave Flaubert
Juan Gabriel Vasquez,10,Madame Bovary,Gustave Flaubert
Yan Lianke,10,Madame Bovary,Gustave Flaubert
Anne Enright,10,Madame Bovary,Gustave Flaubert
John Mullan,10,Madame Bovary,Gustave Flaubert
Kevin Power,10,Madame Bovary,Gustave Flaubert
Melissa Broder,10,Madame Bovary,Gustave Flaubert
Elif Shafak,10,Madame Bovary,Gustave Flaubert
Rebecca Liu,10,Madame Bovary,Gustave Flaubert
Laura Wilson,10,Madame Bovary,Gustave Flaubert
Claire Messud,10,Madame Bovary,Gustave Flaubert
Tessa Hadley,10,Madame Bovary,Gustave Flaubert
Houman Barekat,10,Madame Bovary,Gustave Flaubert
Stephen King,10,Madame Bovary,Gustave Flaubert
Ian McEwan,10,Madame Bovary,Gustave Flaubert
Marcel Theroux,10,Madame Bovary,Gustave Flaubert
Clare Clark,10,Madame Bovary,Gustave Flaubert
Michael Donkor,10,Madame Bovary,Gustave Flaubert
Amanda Craig,11,The Great Gatsby,F Scott Fitzgerald
Sam Leith,11,The Great Gatsby,F Scott Fitzgerald
Sarah Churchwell,11,The Great Gatsby,F Scott Fitzgerald
Blake Morrison,11,The Great Gatsby,F Scott Fitzgerald
Lucy Knight,11,The Great Gatsby,F Scott Fitzgerald
Rachel Kushner,11,The Great Gatsby,F Scott Fitzgerald
Amit Chaudhuri,11,The Great Gatsby,F Scott Fitzgerald
Christobel Kent,11,The Great Gatsby,F Scott Fitzgerald
Julie Myerson,11,The Great Gatsby,F Scott Fitzgerald
Derek Owusu,11,The Great Gatsby,F Scott Fitzgerald
Lisa Tuttle,11,The Great Gatsby,F Scott Fitzgerald
Xan Brooks,11,The Great Gatsby,F Scott Fitzgerald
Tahmima Anam,11,The Great Gatsby,F Scott Fitzgerald
David Nicholls,11,The Great Gatsby,F Scott Fitzgerald
Marcel Theroux,11,The Great Gatsby,F Scott Fitzgerald
Clare Clark,11,The Great Gatsby,F Scott Fitzgerald
Aida Edemariam,11,The Great Gatsby,F Scott Fitzgerald
Charlotte Northedge,11,The Great Gatsby,F Scott Fitzgerald
Emma Loffhagen,11,The Great Gatsby,F Scott Fitzgerald
RF Kuang,11,The Great Gatsby,F Scott Fitzgerald
Jon Day,12,Bleak House,Charles Dickens
Jude Cook,12,Bleak House,Charles Dickens
Sarah Waters,12,Bleak House,Charles Dickens
Charlotte Mendelson,12,Bleak House,Charles Dickens
Olivia Laing,12,Bleak House,Charles Dickens
PD Smith,12,Bleak House,Charles Dickens
Lara Feigel,12,Bleak House,Charles Dickens
Siri Hustvedt,12,Bleak House,Charles Dickens
Adam Roberts,12,Bleak House,Charles Dickens
Kathryn Hughes,12,Bleak House,Charles Dickens
Maya Jasanoff,12,Bleak House,Charles Dickens
Lisa Tuttle,12,Bleak House,Charles Dickens
Xan Brooks,12,Bleak House,Charles Dickens
Charlotte Higgins,12,Bleak House,Charles Dickens
Susanna Rustin,12,Bleak House,Charles Dickens
Mark Haddon,12,Bleak House,Charles Dickens
David Nicholls,12,Bleak House,Charles Dickens
Ian Rankin,12,Bleak House,Charles Dickens
Naoise Dolan,12,Bleak House,Charles Dickens
Sarah Churchwell,13,Emma,Jane Austen
Blake Morrison,13,Emma,Jane Austen
John Mullan,13,Emma,Jane Austen
Ian Patterson,13,Emma,Jane Austen
William Boyd,13,Emma,Jane Austen
Lorrie Moore,13,Emma,Jane Austen
Claire Armitstead,13,Emma,Jane Austen
Katherine Rundell,13,Emma,Jane Austen
Jack Edwards,13,Emma,Jane Austen
Laura Wilson,13,Emma,Jane Austen
Ali Smith,13,Emma,Jane Austen
Charlotte Higgins,13,Emma,Jane Austen
Susanna Rustin,13,Emma,Jane Austen
Clare Clark,13,Emma,Jane Austen
Aida Edemariam,13,Emma,Jane Austen
Liese Spencer,13,Emma,Jane Austen
Emma Loffhagen,13,Emma,Jane Austen
Naoise Dolan,13,Emma,Jane Austen
Sarah Moss,14,Mrs Dalloway,Virginia Woolf
Sandra Newman,14,Mrs Dalloway,Virginia Woolf
John Self,14,Mrs Dalloway,Virginia Woolf
Kevin Power,14,Mrs Dalloway,Virginia Woolf
Maya Jasanoff,14,Mrs Dalloway,Virginia Woolf
Melissa Broder,14,Mrs Dalloway,Virginia Woolf
Claire Messud,14,Mrs Dalloway,Virginia Woolf
Samantha Harvey,14,Mrs Dalloway,Virginia Woolf
Susanna Rustin,14,Mrs Dalloway,Virginia Woolf
Houman Barekat,14,Mrs Dalloway,Virginia Woolf
Lisa Allardice,14,Mrs Dalloway,Virginia Woolf
Clare Clark,14,Mrs Dalloway,Virginia Woolf
Aida Edemariam,14,Mrs Dalloway,Virginia Woolf
Michael Donkor,14,Mrs Dalloway,Virginia Woolf
Liese Spencer,14,Mrs Dalloway,Virginia Woolf
Lily King,14,Mrs Dalloway,Virginia Woolf
Lauren Elkin,14,Mrs Dalloway,Virginia Woolf
Doireann Ní Ghríofa,14,Mrs Dalloway,Virginia Woolf
Tanjll Rashid,15,Moby-Dick,Herman Melville
Alberto Manguel,15,Moby-Dick,Herman Melville
Eimear McBride,15,Moby-Dick,Herman Melville
Sam Leith,15,Moby-Dick,Herman Melville
Chris Power,15,Moby-Dick,Herman Melville
Chloe Aridjis,15,Moby-Dick,Herman Melville
Sarah Churchwell,15,Moby-Dick,Herman Melville
Anne Enright,15,Moby-Dick,Herman Melville
Steven Poole,15,Moby-Dick,Herman Melville
Rachel Kushner,15,Moby-Dick,Herman Melville
Siri Hustvedt,15,Moby-Dick,Herman Melville
Michael Chabon,15,Moby-Dick,Herman Melville
Claire Armitstead,15,Moby-Dick,Herman Melville
Yiyun Li,15,Moby-Dick,Herman Melville
Stephen King,15,Moby-Dick,Herman Melville
Stuart Kelly,15,Moby-Dick,Herman Melville
Ben Okri,15,Moby-Dick,Herman Melville
John Lanchester,15,Moby-Dick,Herman Melville
Meg Rosoff,16,Nineteen Eighty-Four,George Orwell
Alberto Manguel,16,Nineteen Eighty-Four,George Orwell
Eimear McBride,16,Nineteen Eighty-Four,George Orwell
Esi Edugyan,16,Nineteen Eighty-Four,George Orwell
Blake Morrison,16,Nineteen Eighty-Four,George Orwell
Beejay Silcox,16,Nineteen Eighty-Four,George Orwell
Sian Cain,16,Nineteen Eighty-Four,George Orwell
Candice Carty Williams,16,Nineteen Eighty-Four,George Orwell
Colum McCann,16,Nineteen Eighty-Four,George Orwell
Sarah Bakewell,16,Nineteen Eighty-Four,George Orwell
Jack Edwards,16,Nineteen Eighty-Four,George Orwell
Valeria Luiselli,16,Nineteen Eighty-Four,George Orwell
Laura Wilson,16,Nineteen Eighty-Four,George Orwell
Parinoush Saniee,16,Nineteen Eighty-Four,George Orwell
Catherine Taylor,16,Nineteen Eighty-Four,George Orwell
Sara Collins,16,Nineteen Eighty-Four,George Orwell
Marcel Theroux,16,Nineteen Eighty-Four,George Orwell
Dorian Lynskey,16,Nineteen Eighty-Four,George Orwell
Arifa Akbar,16,Nineteen Eighty-Four,George Orwell
Alberto Manguel,17,One Hundred Years of Solitude,Gabriel García Márquez
Salman Rushdie,17,One Hundred Years of Solitude,Gabriel García Márquez
Juan Gabriel Vasquez,17,One Hundred Years of Solitude,Gabriel García Márquez
Sarah Waters,17,One Hundred Years of Solitude,Gabriel García Márquez
Yagnishsing Dawoor,17,One Hundred Years of Solitude,Gabriel García Márquez
Claire Armitstead,17,One Hundred Years of Solitude,Gabriel García Márquez
Jeet Thayil,17,One Hundred Years of Solitude,Gabriel García Márquez
David Diop,17,One Hundred Years of Solitude,Gabriel García Márquez
Elif Shafak,17,One Hundred Years of Solitude,Gabriel García Márquez
Ahdaf Soueif,17,One Hundred Years of Solitude,Gabriel García Márquez
Richard Osman,17,One Hundred Years of Solitude,Gabriel García Márquez
Valeria Luiselli,17,One Hundred Years of Solitude,Gabriel García Márquez
Colm Tóibín,17,One Hundred Years of Solitude,Gabriel García Márquez
Parinoush Saniee,17,One Hundred Years of Solitude,Gabriel García Márquez
Ben Okri,17,One Hundred Years of Solitude,Gabriel García Márquez
Michael Donkor,17,One Hundred Years of Solitude,Gabriel García Márquez
RF Kuang,17,One Hundred Years of Solitude,Gabriel García Márquez
Daisy Johnson,17,One Hundred Years of Solitude,Gabriel García Márquez
Freya Johnston,18,Persuasion,Jane Austen
Amanda Craig,18,Persuasion,Jane Austen
Sarah Moss,18,Persuasion,Jane Austen
Shahidha Bari,18,Persuasion,Jane Austen
Samantha Ellis,18,Persuasion,Jane Austen
Olivia Laing,18,Persuasion,Jane Austen
Yiyun Li,18,Persuasion,Jane Austen
Lisa Tuttle,18,Persuasion,Jane Austen
Tessa Hadley,18,Persuasion,Jane Austen
Justine Jordan,18,Persuasion,Jane Austen
Dinah Birch,18,Persuasion,Jane Austen
Tahmima Anam,18,Persuasion,Jane Austen
David Nicholls,18,Persuasion,Jane Austen
Lisa Allardice,18,Persuasion,Jane Austen
Charlotte Northedge,18,Persuasion,Jane Austen
Jem Calder,18,Persuasion,Jane Austen
Lily King,18,Persuasion,Jane Austen
Sam Leith,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sandra Newman,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Rishi Dastidar,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Blake Morrison,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
John Mullan,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Ian Patterson,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
William Boyd,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Colum McCann,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sarah Bakewell,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Sukhdev Sandhu,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Adam Thirlwell,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Jennifer Egan,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Nina Stibbe,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Charlotte Higgins,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Stuart Kelly,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Alexandra Harris,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Liese Spencer,19,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
Eimear McBride,20,Wuthering Heights,Emily Brontë
John Boyne,20,Wuthering Heights,Emily Brontë
Nina Allan,20,Wuthering Heights,Emily Brontë
Shahidha Bari,20,Wuthering Heights,Emily Brontë
Sarah Churchwell,20,Wuthering Heights,Emily Brontë
Samantha Ellis,20,Wuthering Heights,Emily Brontë
Jan Carson,20,Wuthering Heights,Emily Brontë
Joanne Harris,20,Wuthering Heights,Emily Brontë
Julie Myerson,20,Wuthering Heights,Emily Brontë
William Boyd,20,Wuthering Heights,Emily Brontë
Siri Hustvedt,20,Wuthering Heights,Emily Brontë
Kate Mosse,20,Wuthering Heights,Emily Brontë
Matt Haig,20,Wuthering Heights,Emily Brontë
Arifa Akbar,20,Wuthering Heights,Emily Brontë
Doireann Ní Ghríofa,20,Wuthering Heights,Emily Brontë
Merve Emre,21,The Portrait of a Lady,Henry James
Hermione Lee,21,The Portrait of a Lady,Henry James
Sam Leith,21,The Portrait of a Lady,Henry James
Pratinav Anil,21,The Portrait of a Lady,Henry James
Sarah Churchwell,21,The Portrait of a Lady,Henry James
Elif Batuman,21,The Portrait of a Lady,Henry James
Andrew Solomon,21,The Portrait of a Lady,Henry James
Lara Feigel,21,The Portrait of a Lady,Henry James
Geoff Dyer,21,The Portrait of a Lady,Henry James
Kevin Power,21,The Portrait of a Lady,Henry James
Ben Markovits,21,The Portrait of a Lady,Henry James
Charlotte Higgins,21,The Portrait of a Lady,Henry James
Susanna Rustin,21,The Portrait of a Lady,Henry James
David Nicholls,21,The Portrait of a Lady,Henry James
Lisa Allardice,21,The Portrait of a Lady,Henry James
Jem Calder,21,The Portrait of a Lady,Henry James
Mazen Maarouf,22,Things Fall Apart,Chinua Achebe
Sarah Waters,22,Things Fall Apart,Chinua Achebe
Adam Roberts,22,Things Fall Apart,Chinua Achebe
Claire Armitstead,22,Things Fall Apart,Chinua Achebe
Derek Owusu,22,Things Fall Apart,Chinua Achebe
Natasha Walter,22,Things Fall Apart,Chinua Achebe
Claire Messud,22,Things Fall Apart,Chinua Achebe
Ben Markovits,22,Things Fall Apart,Chinua Achebe
Susanna Rustin,22,Things Fall Apart,Chinua Achebe
Alain Mabanckou,22,Things Fall Apart,Chinua Achebe
Tahmima Anam,22,Things Fall Apart,Chinua Achebe
Diana Evans,22,Things Fall Apart,Chinua Achebe
Michael Donkor,22,Things Fall Apart,Chinua Achebe
Emma Loffhagen,22,Things Fall Apart,Chinua Achebe
Tanjll Rashid,23,Midnight's Children,Salman Rushdie
Shahidha Bari,23,Midnight's Children,Salman Rushdie
Rishi Dastidar,23,Midnight's Children,Salman Rushdie
Jan Carson,23,Midnight's Children,Salman Rushdie
Sarah Waters,23,Midnight's Children,Salman Rushdie
Yagnishsing Dawoor,23,Midnight's Children,Salman Rushdie
Jeet Thayil,23,Midnight's Children,Salman Rushdie
Kathryn Hughes,23,Midnight's Children,Salman Rushdie
Sinéad Gleeson,23,Midnight's Children,Salman Rushdie
Justine Jordan,23,Midnight's Children,Salman Rushdie
Sara Collins,23,Midnight's Children,Salman Rushdie
Dinah Birch,23,Midnight's Children,Salman Rushdie
Tahmima Anam,23,Midnight's Children,Salman Rushdie
Jon Day,24,The Remains of the Day,Kazuo Ishiguro
Kit de Waal,24,The Remains of the Day,Kazuo Ishiguro
John Self,24,The Remains of the Day,Kazuo Ishiguro
Julie Myerson,24,The Remains of the Day,Kazuo Ishiguro
Sian Cain,24,The Remains of the Day,Kazuo Ishiguro
Yagnishsing Dawoor,24,The Remains of the Day,Kazuo Ishiguro
Lorrie Moore,24,The Remains of the Day,Kazuo Ishiguro
Joe Dunthorne,24,The Remains of the Day,Kazuo Ishiguro
